Sentence Index,Sentence
258,remain share percentage ADC       hold person conflict interest
259,end    ADC process liquidationiCandy Interactive Limited Teleinfo Media Public Co Ltd TMC Yellow Pages Commerce Co Ltd ypcinvestment structure AIS Group Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
260,GovernanceManagement StructureInternal ControlFinancial StatementInvestment structure INTOUCH group major shareholder    December    Advanced Info Service Plc    ad Venture PlcAdvanced Wireless Network CoLtd
261,    Clearing House Number Portability Co Ltd    CS LoxInfo Plc Fax Lite Co Ltd    Advanced Broadband Network Co Ltd    Amata Network Co Ltd
262,   Information Highway Co Ltd
263,   Saha Advance Network Co Ltd
264,advanced Contact Center Co Ltd    AIS GlobalComm Co Ltd    Super Broadband Network Co Ltd    MIMO Tech Co Ltd    Digital Phone Co Ltd    Cleaing House Number Portability Co Ltd    Bridge Mobile Pte
265,Ltd    Advanced Magic Card CoLtd
266,Choco Card Enterprise Co Ltd
267,   Datafarm Co Ltd
268,   Swift Dynamics Co Ltd    Advanced MPAY Co Ltd Advanced Digital Distribution CoLtd
269,   LearnDi Co Ltd    GSA Data Centre Co Ltd AIS DC Venture Co LtdAIS Digital Life Co Ltd    rabbitline Pay Co Ltd
270,   Advanced Datanetwork Communications Co Ltd    Remarks     Listed Company Stock Exchange Thailand    liquidation process    currently operation    INTUCH stake    ITV cease operation    ongoing dispute Permanent Secretary    Office Prime MinisteriCandy Interactive Limited Yellow Pages Commerce Co LtdTeleinfo Media PlcConicle Co Ltd    Intouch Media Co Ltd    Youch TV Co Ltd   
271,Applications Services Co Ltd
272,Peer Power Co Ltd    Ookbee Co Ltd Intouch
273,Holdings Plc     Subsidiaries Subsidiaries Joint Venture Associated Company investment Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
274,GovernanceManagement StructureInternal ControlFinancial Statement share hold    shareholde
275,INTOUCH HOLDINGS PLC      SINGTEL STRATEGIC investments PTE LTD   
276,THAI NVDR COLTD  
277,CITIBANK NOMINEES SINGAPORE PTE LTDAC GIC C   
278,SOCIAL SECURITIES office   
279,state STREET EUROPE LIMITED   
280,SOUTH EAST ASIA UK TYPE C NOMINEES LIMITED   
281,STATE STREET BANK TRUST COMPANY   
282,BANK NEW YORK MELLON   
283,VAYU MFC Asset Management Public Company Limited     total   
284,number sharespercentage    investment
285,GULF ENERGY DEVELOPMENT PLC
286,    SINGTEL GLOBAL INVESTMENT PTE LTD      THAI NVDR COMPANY LIMITED   
287,SOUTH EAST ASIA UK TYPE C NOMINEES LIMITED   
288,SOCIAL SECURITY office   
289,MR
290,PERMSAK KENGMANA   
291,state STREET EUROPE LIMITED   
292,KIATNAKIN PHATRA BANK PLC
293,     BANK AYUDHYA PLC
295,RAMKHAMHAENG HOSPITAL PLC
296,   register capital pay capital Registered Capital         Baht divide common share           share par    Baht share pay Capital         Baht divide common share          share par    Baht share         vo te right share Shareholders Remark
297,information Thai NVDR Co Ltd find SET website httpswwwsetorthenmarketproductstockquoteadvanc majorshareholder Thai NVDR Co Ltd hold NonVoting Depository Receipt NVDR ineligible vote shareholder    meeting vote meeting specifically consider delist
